ID;TIPO GEOMETRIA;AÑO;CAUSA;AREA_Ha;OBSERVACION;LATITUD;LONGITUD;MUNICIPIO
8310;Polygon;2021;Cultivo;0,86959;Ninguna;6' 12' 43.546' N;77' 22' 56.880' W;BAHIA SOLANO
650;Polygon;2014;Desconocida;0,88303;Ninguna;6' 7' 25,026' N;77' 23' 36,054' W;BAHIA SOLANO
8315;Polygon;2021;Cultivo;0,93838;Ninguna;6' 11' 43.825' N;77' 22' 11.908' W;BAHIA SOLANO
8309;Polygon;2021;Cultivo;0,98669;Ninguna;6' 12' 36.108' N;77' 22' 32.517' W;BAHIA SOLANO
8307;Polygon;2021;Cultivo;1,00964;Ninguna;6' 12' 37.745' N;77' 22' 41.187' W;BAHIA SOLANO
702;Polygon;2015;Cultivo;1,02039;Ninguna;6' 8' 59,965' N;77' 23' 38,055' W;BAHIA SOLANO
8014;Polygon;2020;Cultivo;1,02092;Ninguna;6' 15' 40,409' N;77' 23' 2,531' W;BAHIA SOLANO
666;Polygon;2014;Cultivo;1,05044;Ninguna;6' 6' 23,437' N;77' 22' 48,246' W;BAHIA SOLANO
651;Polygon;2014;Desconocida;1,09976;Ninguna;6' 7' 49,944' N;77' 20' 6,870' W;BAHIA SOLANO
8004;Polygon;2020;Cultivo;1,14516;Ninguna;6' 11' 27,249' N;77' 23' 21,700' W;BAHIA SOLANO
652;Polygon;2014;Desconocida;1,15567;Ninguna;6' 7' 29,618' N;77' 22' 12,044' W;BAHIA SOLANO
4342;Polygon;2019;Cultivo;1,15726;Ninguna;6' 43' 4,587' N;77' 25' 30,957' W;BAHIA SOLANO
667;Polygon;2014;Cultivo;1,15945;Ninguna;6' 14' 42,639' N;77' 26' 23,576' W;BAHIA SOLANO
703;Polygon;2015;Cultivo;1,16873;Ninguna;6' 7' 56,028' N;77' 23' 44,417' W;BAHIA SOLANO
704;Polygon;2015;Cultivo;1,21191;Ninguna;6' 5' 3,887' N;77' 24' 14,784' W;BAHIA SOLANO
668;Polygon;2014;Cultivo;1,22228;Ninguna;6' 5' 24,020' N;77' 22' 1,618' W;BAHIA SOLANO
8017;Polygon;2020;Cultivo;1,30211;Ninguna;6' 6' 34,871' N;77' 25' 33,740' W;BAHIA SOLANO
8305;Polygon;2021;Cultivo;1,34418;Ninguna;6' 12' 48.705' N;77' 22' 54.705' W;BAHIA SOLANO
669;Polygon;2014;Cultivo;1,37333;Ninguna;6' 8' 26,254' N;77' 20' 22,042' W;BAHIA SOLANO
705;Polygon;2015;Cultivo;1,38452;Ninguna;6' 16' 8,102' N;77' 27' 22,114' W;BAHIA SOLANO
8012;Polygon;2020;Cultivo;1,41174;Ninguna;6' 14' 19,770' N;77' 22' 50,904' W;BAHIA SOLANO
8300;Polygon;2021;Cultivo;1,56087;Ninguna;6' 6' 17.773' N;77' 24' 47.543' W;BAHIA SOLANO
670;Polygon;2014;Cultivo;1,58768;Ninguna;6' 5' 42,523' N;77' 21' 21,728' W;BAHIA SOLANO
671;Polygon;2014;Cultivo;1,61671;Ninguna;6' 5' 20,019' N;77' 22' 5,346' W;BAHIA SOLANO
672;Polygon;2014;Cultivo;1,63116;Ninguna;6' 6' 19,855' N;77' 21' 50,198' W;BAHIA SOLANO
706;Polygon;2015;Cultivo;1,72491;Ninguna;6' 8' 52,731' N;77' 23' 41,620' W;BAHIA SOLANO
4339;Polygon;2019;Cultivo;1,77839;Ninguna;6' 43' 33,619' N;77' 27' 17,039' W;BAHIA SOLANO
673;Polygon;2014;Cultivo;1,95371;Ninguna;6' 9' 18,667' N;77' 20' 58,394' W;BAHIA SOLANO
674;Polygon;2014;Cultivo;1,97933;Ninguna;6' 6' 50,864' N;77' 20' 48,787' W;BAHIA SOLANO
675;Polygon;2014;Cultivo;2,02807;Ninguna;6' 6' 25,032' N;77' 23' 49,052' W;BAHIA SOLANO
707;Polygon;2015;Cultivo;2,04055;Ninguna;6' 7' 17,515' N;77' 25' 32,972' W;BAHIA SOLANO
8006;Polygon;2020;Cultivo;2,09588;Ninguna;6' 12' 31,422' N;77' 22' 52,824' W;BAHIA SOLANO
722;Polygon;2016;Cultivo;2,10983;Ninguna;6' 12' 25,911' N;77' 22' 39,439' W;BAHIA SOLANO
8303;Polygon;2021;Cultivo;2,22424;Ninguna;6' 6' 10.796' N;77' 24' 29.575' W;BAHIA SOLANO
676;Polygon;2014;Cultivo;2,39933;Ninguna;6' 5' 58,522' N;77' 20' 8,923' W;BAHIA SOLANO
677;Polygon;2014;Cultivo;2,41501;Ninguna;6' 6' 17,422' N;77' 24' 30,513' W;BAHIA SOLANO
718;Polygon;2015;Ganaderia;2,59229;Ninguna;6' 43' 32,688' N;77' 27' 22,645' W;BAHIA SOLANO
8301;Polygon;2021;Cultivo;2,62002;Ninguna;6' 4' 7.564' N;77' 23' 32.657' W;BAHIA SOLANO
708;Polygon;2015;Cultivo;2,90525;Ninguna;6' 44' 25,688' N;77' 26' 49,491' W;BAHIA SOLANO
678;Polygon;2014;Cultivo;3,02864;Ninguna;6' 8' 8,274' N;77' 21' 22,201' W;BAHIA SOLANO
679;Polygon;2014;Cultivo;3,22104;Ninguna;6' 6' 37,700' N;77' 23' 24,910' W;BAHIA SOLANO
680;Polygon;2014;Cultivo;3,29498;Ninguna;6' 5' 48,140' N;77' 21' 13,996' W;BAHIA SOLANO
709;Polygon;2015;Cultivo;3,30037;Ninguna;6' 40' 59,572' N;77' 23' 48,072' W;BAHIA SOLANO
710;Polygon;2015;Cultivo;3,42349;Ninguna;6' 43' 3,518' N;77' 27' 23,510' W;BAHIA SOLANO
711;Polygon;2015;Cultivo;3,52823;Ninguna;6' 7' 35,240' N;77' 23' 40,110' W;BAHIA SOLANO
681;Polygon;2014;Cultivo;3,69258;Ninguna;6' 5' 55,403' N;77' 22' 25,979' W;BAHIA SOLANO
719;Polygon;2015;Ganaderia;4,14340;Ninguna;6' 42' 36,618' N;77' 27' 57,475' W;BAHIA SOLANO
712;Polygon;2015;Cultivo;4,15477;Ninguna;6' 8' 2,130' N;77' 23' 34,700' W;BAHIA SOLANO
8019;Polygon;2020;Cultivo;4,36698;Ninguna;6' 10' 1,322' N;77' 22' 23,080' W;BAHIA SOLANO
682;Polygon;2014;Cultivo;4,76658;Ninguna;6' 6' 50,584' N;77' 24' 12,068' W;BAHIA SOLANO
713;Polygon;2015;Cultivo;5,29629;Ninguna;6' 8' 8,814' N;77' 25' 55,647' W;BAHIA SOLANO
683;Polygon;2014;Cultivo;5,90546;Ninguna;6' 5' 32,430' N;77' 22' 16,866' W;BAHIA SOLANO
720;Polygon;2015;Ganaderia;5,93814;Ninguna;6' 13' 50,326' N;77' 23' 14,314' W;BAHIA SOLANO
8316;Polygon;2021;Cultivo;6,53125;Ninguna;6' 10' 59.778' N;77' 23' 34.065' W;BAHIA SOLANO
714;Polygon;2015;Cultivo;7,45461;Ninguna;6' 8' 32,297' N;77' 23' 55,840' W;BAHIA SOLANO
684;Polygon;2014;Cultivo;7,75871;Ninguna;6' 5' 23,550' N;77' 22' 20,946' W;BAHIA SOLANO
715;Polygon;2015;Cultivo;8,16691;Ninguna;6' 42' 47,575' N;77' 27' 30,366' W;BAHIA SOLANO
8005;Polygon;2020;Cultivo;8,25527;Ninguna;6' 11' 22,083' N;77' 22' 10,745' W;BAHIA SOLANO
685;Polygon;2014;Cultivo;8,57317;Ninguna;6' 6' 47,593' N;77' 23' 52,456' W;BAHIA SOLANO
723;Polygon;2017;Cultivo;8,97704;Ninguna;6' 13' 17,531' N;77' 21' 6,502' W;BAHIA SOLANO
686;Polygon;2014;Cultivo;9,08084;Ninguna;6' 6' 27,301' N;77' 23' 18,222' W;BAHIA SOLANO
687;Polygon;2014;Cultivo;9,77289;Ninguna;6' 5' 50,394' N;77' 20' 48,161' W;BAHIA SOLANO
688;Polygon;2014;Cultivo;11,39702;Ninguna;6' 6' 39,732' N;77' 20' 51,676' W;BAHIA SOLANO
721;Polygon;2016;Cultivo;12,22680;Ninguna;6' 13' 9,978' N;77' 21' 6,110' W;BAHIA SOLANO
689;Polygon;2014;Cultivo;13,74038;Ninguna;6' 6' 22,796' N;77' 20' 15,516' W;BAHIA SOLANO
690;Polygon;2014;Cultivo;13,89554;Ninguna;6' 6' 46,460' N;77' 23' 9,392' W;BAHIA SOLANO
691;Polygon;2014;Cultivo;14,27772;Ninguna;6' 6' 23,976' N;77' 20' 38,372' W;BAHIA SOLANO
692;Polygon;2014;Cultivo;17,75718;Ninguna;6' 6' 44,112' N;77' 22' 21,548' W;BAHIA SOLANO
693;Polygon;2014;Cultivo;21,80288;Ninguna;6' 6' 31,053' N;77' 21' 49,147' W;BAHIA SOLANO
